from_type,from_name,relation_type,to_type,to_name
Room,B01-F01-R101,Contains,Device,b01-f01-r101
Room,B01-F01-R102,Contains,Device,b01-f01-r102
Room,B01-F01-R103,Contains,Device,b01-f01-r103
Room,B01-F01-R104,Contains,Device,b01-f01-r104
Room,B01-F01-R105,Contains,Device,b01-f01-r105
Room,B01-F01-R106,Contains,Device,b01-f01-r106
Room,B01-F01-R107,Contains,Device,b01-f01-r107
Room,B01-F01-R108,Contains,Device,b01-f01-r108
Room,B01-F01-R109,Contains,Device,b01-f01-r109
Room,B01-F01-R110,Contains,Device,b01-f01-r110
Room,B01-F01-R111,Contains,Device,b01-f01-r111
Room,B01-F01-R112,Contains,Device,b01-f01-r112
Room,B01-F01-R113,Contains,Device,b01-f01-r113
Room,B01-F01-R114,Contains,Device,b01-f01-r114
Room,B01-F01-R115,Contains,Device,b01-f01-r115
Room,B01-F01-R116,Contains,Device,b01-f01-r116
Room,B01-F01-R117,Contains,Device,b01-f01-r117
Room,B01-F01-R118,Contains,Device,b01-f01-r118
Room,B01-F01-R119,Contains,Device,b01-f01-r119
Room,B01-F01-R120,Contains,Device,b01-f01-r120
Room,B01-F02-R201,Contains,Device,b01-f02-r201
Room,B01-F02-R202,Contains,Device,b01-f02-r202
Room,B01-F02-R203,Contains,Device,b01-f02-r203
Room,B01-F02-R204,Contains,Device,b01-f02-r204
Room,B01-F02-R205,Contains,Device,b01-f02-r205
Room,B01-F02-R206,Contains,Device,b01-f02-r206
Room,B01-F02-R207,Contains,Device,b01-f02-r207
Room,B01-F02-R208,Contains,Device,b01-f02-r208
Room,B01-F02-R209,Contains,Device,b01-f02-r209
Room,B01-F02-R210,Contains,Device,b01-f02-r210
Room,B01-F02-R211,Contains,Device,b01-f02-r211
Room,B01-F02-R212,Contains,Device,b01-f02-r212
Room,B01-F02-R213,Contains,Device,b01-f02-r213
Room,B01-F02-R214,Contains,Device,b01-f02-r214
Room,B01-F02-R215,Contains,Device,b01-f02-r215
Room,B01-F02-R216,Contains,Device,b01-f02-r216
Room,B01-F02-R217,Contains,Device,b01-f02-r217
Room,B01-F02-R218,Contains,Device,b01-f02-r218
Room,B01-F02-R219,Contains,Device,b01-f02-r219
Room,B01-F02-R220,Contains,Device,b01-f02-r220
Room,B01-F03-R301,Contains,Device,b01-f03-r301
Room,B01-F03-R302,Contains,Device,b01-f03-r302
Room,B01-F03-R303,Contains,Device,b01-f03-r303
Room,B01-F03-R304,Contains,Device,b01-f03-r304
Room,B01-F03-R305,Contains,Device,b01-f03-r305
Room,B01-F03-R306,Contains,Device,b01-f03-r306
Room,B01-F03-R307,Contains,Device,b01-f03-r307
Room,B01-F03-R308,Contains,Device,b01-f03-r308
Room,B01-F03-R309,Contains,Device,b01-f03-r309
Room,B01-F03-R310,Contains,Device,b01-f03-r310
